"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"ASUS SABERTOOTH Z170 S USB3.1/SATA600/SATAe/M.2/DP/HDMI",0,"Asus","90MB0PT0-M0EAY0","LGA  1151","Z170","TRUE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASUS STRIX B250I Gaming",0,"ASUS","90MB0U20-M0EAY0","LGA  1151","B250","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX B350-I Gaming, Rog",0,"ASUS","90MB0VD0-M0EAY0","AM4","B350","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX H270F Gaming",0,"ASUS","90MB0S70-M0EAY0","LGA  1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX H270I Gaming",0,"ASUS","90MB0U10-M0EAY0","LGA  1151","H270","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX X370-I Gaming, RoG",0,"ASUS","90MB0VE0-M0EAY0","AM4","X370","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS Strix X470-I Gaming, RoG",0,"ASUS","90MB0XE0-M0EAY0","AM4","X470","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX Z270E Gaming, RoG",0,"ASUS","90MB0RN0-M0EAY0","LGA  1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX Z270F Gaming, RoG",0,"ASUS","90MB0SV0-M0EAY0","LGA  1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX Z270H Gaming, RoG",0,"ASUS","90MB0SS0-M0EAY0","LGA  1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX Z270I Gaming ROG",0,"ASUS","90MB0SD0-M0EAY0","LGA  1151","Z270","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS STRIX Z370-E Gaming, RoG",0,"ASUS","90MB0V40-M0EAY0","LGA  1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS Trooper B85 GL/USB3.0/SATA600/DVI/VGA B85",0,"Asus","90MB0M40-M0EAY0","LGA 1150","B85","FALSE","ATX","DDR3","GB",2,"","","","","","FALSE","FALSE",""
"ASUS TUF B350M-PLUS Gaming",0,"ASUS","90MB0UU0-M0EAY0","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Asus TUF B350M-PLUS GAMING",105.59,"Asus","TUF B350M-PLUS GAMING","AM4","B350","TRUE","ATX","DDR4","64 GB",4,6,1,1,"",1,"FALSE","FALSE","https://www.amazon.ca/MicroATX-Motherboard-TUF-B350M-PLUS-Gaming/dp/B075KCB65S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075KCB65S"
"Asus TUF B360-PLUS GAMING",0,"Asus","TUF B360-PLUS GAMING","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,1,"","",1,"FALSE","FALSE",""
"ASUS TUF B360-Plus Gaming",0,"ASUS","90MB0X10-M0EAY0","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS TUF B360-Pro Gaming",0,"ASUS","90MB0X00-M0EAY0","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS TUF B360-Pro Gaming (Wi-Fi)",0,"ASUS","90MB0XI0-M0EAY0","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Asus TUF B360-PRO GAMING (WI-FI)",133.51,"Asus","TUF B360-PRO GAMING (WI-FI)","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,1,"","",1,"FALSE","FALSE","https://www.amazon.ca/TUF-B360-Pro-Motherboard-B360-PRO-WI-FI/dp/B07BP9QHF4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BP9QHF4"
"ASUS TUF B360M-E Gaming",0,"ASUS","90MB0WK0-M0EAY0","LGA  1151","B360","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,1,"FALSE","FALSE",""
"Asus TUF B360M-E GAMING",87.04,"Asus","TUF B360M-E GAMING","LGA  1151","B360","FALSE","ATX","DDR4","32 GB",2,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/TUF-B360M-Gaming-LGA1151-Motherboard/dp/B07BSFGVFR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BSFGVFR"
"ASUS TUF B360M-Plus Gaming",0,"ASUS","90MB0WN0-M0EAY0","LGA  1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"Asus TUF B360M-PLUS GAMING",93.57,"Asus","TUF B360M-PLUS GAMING","LGA  1151","B360","FALSE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/TUF-B360M-PLUS-Gaming-LGA1151-Motherboard/dp/B07BVZXYNR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BVZXYNR"
"Asus TUF B450-PLUS GAMING",107.35,"Asus","TUF B450-PLUS GAMING","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FMVJT1H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS TUF B450-Plus Gaming, AMD B450",0,"ASUS","90MB0YM0-M0EAY0","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS TUF B450-PLUS II Gaming",0,"ASUS","90MB1650-M0EAY0","AM4","B450","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF B450-PRO Gaming, AMD B450",0,"ASUS","90MB10C0-M0EAY0","AM4","B450","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF B450M-Plus Gaming, AMD B450",86.31,"ASUS","90MB0YQ0-M0EAY0","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FKV3TVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS TUF B450M-Plus II Gaming",0,"ASUS","90MB1620-M0EAY0","AM4","B450","TRUE","Micro-ATX","DDR4","128 GB",4,6,0,1,0,1,"FALSE","FALSE",""
"ASUS TUF B450M-PRO Gaming, AMD B450",0,"ASUS","90MB10A0-M0EAY0","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS TUF B450M-PRO II Gaming",0,"ASUS","90MB1610-M0EAY0","AM4","B450","TRUE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF B460-PLUS Gaming",0,"ASUS","90MB13N0-M0EAY0","LGA 1200","B460","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF B460-PRO (WI-FI) Gaming",0,"ASUS","90MB13P0-M0EAY0","LGA 1200","B460","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF B460M-PLUS (WI-FI) Gaming",0,"ASUS","90MB1440-M0EAY0","LGA 1200","B460","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Gaming B550-PLUS",0,"ASUS","90MB14G0-M0EAY0","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B550-PLUS (Wi-Fi) II",0,"ASUS","90MB19U0-M0EAY0","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B550M-PLUS",0,"ASUS","90MB14A0-M0EAY0","AM4","B550","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B550M-PLUS (Wi-Fi)",0,"ASUS","90MB1490-M0EAY0","AM4","B550","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B550M-PLUS Wi-Fi II",0,"ASUS","90MB19Y0-M0EAY0","AM4","B550","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B560-PLUS Gaming (WI-FI)",0,"ASUS","90MB1740-M0EAY0","LGA 1200","B560","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B560M-E Gaming (WI-FI)",0,"ASUS","90MB1850-M0EAY0","LGA 1200","B560","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B560M-PLUS",0,"ASUS","90MB1780-M0EAY0","LGA 1200","B560","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B560M-PLUS (WI-FI)",0,"ASUS","90MB1770-M0EAY0","LGA 1200","B560","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B660M-E D4",0,"ASUS","90MB19J0-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B660M-Plus D4",0,"ASUS","90MB1940-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B660M-Plus WiFi D4",0,"ASUS","90MB1930-M0EAY0","LGA 1700","B660","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B760-Plus WiFi D4",0,"ASUS","90MB1DF0-M0EAY0","LGA 1700","B760","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B760M-Plus D4",0,"ASUS","90MB1DI0-M0EAY0","LGA 1700","B760","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B760M-Plus WiFi D4",0,"ASUS","90MB1DG0-M0EAY0","LGA 1700","B760","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming H570-Pro",0,"ASUS","90MB16K0-M0EAY0","LGA 1200","H570","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming H570-Pro (WI-FI)",0,"ASUS","90MB16L0-M0EAY0","LGA 1200","H570","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming H770-Pro WiFi",0,"ASUS","90MB1D50-M0EAY0","LGA 1700","H770","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming X570-Plus (WI-FI), AMD X570",536.05,"ASUS","90MB1170-M0EAY0","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08QYG8Q2B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS TUF Gaming X570-Plus, AMD X570",0,"ASUS","90MB1180-M0EAY0","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming X570-Pro Wifi II",0,"ASUS","90MB19Z0-M0EAY0","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming X670E-Plus",0,"ASUS","90MB1BJ0-M0EAY0","AM5","X670E","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming X670E-Plus WiFi",0,"ASUS","90MB1BK0-M0EAY0","AM5","X670E","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming Z590-PLUS",0,"ASUS","90MB16B0-M0EAY0","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming Z590-PLUS WiFi",0,"ASUS","90MB16C0-M0EAY0","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF GAMING Z690-PLUS D4",0,"ASUS","90MB18U0-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming Z790-Plus WiFi D4",0,"ASUS","90MB1CR0-M0EAY0","LGA 1700","Z790","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF H310-Plus Gaming",0,"ASUS","90MB0WY0-M0EAY0","LGA  1151","H310","FALSE","ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"Asus TUF H310-PLUS GAMING",87.54,"Asus","TUF H310-PLUS GAMING","LGA  1151","H310","FALSE","ATX","DDR4","32 GB",2,4,1,"","",1,"FALSE","FALSE","https://www.amazon.ca/TUF-H310-PLUS-Gaming-LGA1151-Motherboard/dp/B07BVZN3NR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BVZN3NR"
"Asus TUF H310M-PLUS GAMING",0,"Asus","TUF H310M-PLUS GAMING","LGA  1151","H310","FALSE","ATX","DDR4","32 GB",2,4,"",1,"",1,"FALSE","FALSE",""
"ASUS TUF H310M-Plus Gaming",0,"ASUS","90MB0WJ0-M0EAY0","LGA  1151","H310","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF H370-Pro Gaming",0,"ASUS","90MB0WS0-M0EAY0","LGA  1151","H370","FALSE","ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF H370-Pro Gaming (Wi-Fi)",0,"ASUS","90MB0XK0-M0EAY0","LGA  1151","H370","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF H470-PRO (WI-FI) Gaming",0,"ASUS","90MB13B0-M0EAY0","LGA 1200","H470","FALSE","ATX","DDR4","128 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF H470-PRO Gaming",0,"ASUS","90MB13C0-M0EAY0","LGA 1200","H470","FALSE","ATX","DDR4","128 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Sabertooth R3.0",0,"ASUS","90MB0RA0-M0EAY0","AM3, AM3+","990FX","FALSE","ATX","DDR3","32 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF X299 MARK 1",0,"ASUS","90MB0U00-M0EAY0","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF X299 MARK 2",0,"ASUS","90MB0UB0-M0EAY0","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,6,0,0,0,0,"FALSE","FALSE",""
"Asus TUF X299 MARK 2",255.88,"Asus","TUF X299 MARK 2","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,6,"","","","","FALSE","FALSE","https://www.amazon.ca/TUF-X299-Mark-Motherboard-Processors/dp/B071ZQ75BP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071ZQ75BP"
"ASUS TUF X470-Plus Gaming",0,"ASUS","90MB0XL0-M0EAY0","AM4","X470","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Asus TUF X470-PLUS GAMING",152.89,"Asus","TUF X470-PLUS GAMING","AM4","X470","TRUE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/dp/B07C5YR3KS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Asus TUF Z270 MARK 1",183.88,"Asus","TUF Z270 MARK 1","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,"","",1,1,"FALSE","FALSE","https://www.amazon.ca/ASUS-TUF-Z270-LGA1151-Motherboard/dp/B01N5CPK4E?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N5CPK4E"
"Asus TUF Z270 MARK 2",172.98,"Asus","TUF Z270 MARK 2","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/dp/B01MQTDBOO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Asus TUF Z370-PLUS GAMING",130.56,"Asus","TUF Z370-PLUS GAMING","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/TUF-Gaming-Z370-Motherboard-Generation/dp/B075RJ8WN2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075RJ8WN2"
"ASUS TUF Z370-PLUS Gaming",349.51,"ASUS","90MB0VF0-M0EAY0","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/Xerox-Versalink-106R03944-Capacity-Cartridge/dp/B076JVKD6J?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076JVKD6J"
"Asus TUF Z370-PRO GAMING",145.13,"Asus","TUF Z370-PRO GAMING","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,"",1,"",1,"FALSE","FALSE","https://www.amazon.ca/TUF-Z370-Pro-Gaming-Motherboard/dp/B075RJP22C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075RJP22C"
"ASUS TUF Z370-PRO Gaming, RoG",0,"ASUS","90MB0VL0-M0EAY0","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z390-PLUS Gaming",0,"ASUS","90MB0XW0-M0EAY0","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z390-PLUS Gaming Wi-Fi",0,"ASUS","90MB0Z90-M0EAY0","LGA 1151","Z390","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z390-PRO Gaming",177.6,"ASUS","90MB0YA0-M0EAY0","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HM6ZC9D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS TUF Z390M-PRO Gaming",0,"ASUS","90MB0Y10-M0EAY0","LGA 1151","Z390","FALSE","Micro-ATX","DDR4","GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z390M-PRO Gaming Wi-Fi",0,"ASUS","90MB0Y00-M0EAY0","LGA 1151","Z390","FALSE","Micro-ATX","DDR4","GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z490-PLUS Gaming",0,"ASUS","90MB1340-M0EAY0","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF Z490-PLUS Gaming Wi-Fi",0,"ASUS","90MB1330-M0EAY0","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS Vanguard B85 GL/USB3.0/SATA600/R/DVI/HDMI/VGA/DP B85",0,"Asus","90MB0GN0-M0EAY0","LGA 1150","B85","FALSE","Micro-ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"ASUS WS X299 PRO",0,"ASUS","90SW0090-M0EAY0","LGA 2066","X299","TRUE","ATX","DDR4","256 GB",8,6,0,0,0,0,"FALSE","FALSE",""
"ASUS WS X299 Pro/SE",0,"ASUS","90SW00A0-M0EAY0","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,6,0,0,0,0,"FALSE","FALSE",""
"ASUS WS X299 SAGE",0,"ASUS","90SW0070-M0EAY0","LGA 2066","X299","TRUE","CEB","DDR4","128 GB",8,4,0,0,0,0,"FALSE","FALSE",""
"ASUS WS X299 SAGE/10G",677.79,"ASUS","90SW00H0-M0EAY0","LGA 2066","X299","TRUE","CEB","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07GKZ5NRB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS X99 Sabertooth",0,"ASUS","90MB0L00-M0EAY0","LGA 2011-v3","X99","FALSE","ATX","DDR4","64 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"ASUS X99 STRIX Gaming",0,"ASUS","90MB0QK0-M0EAY1","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASUS X99-A II",0,"ASUS","90MB0Q80-M0EAY1","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"Asus X99-DELUXE II",290.14,"Asus","X99-DELUXE II","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,8,"","","","","FALSE","FALSE","https://www.amazon.ca/LGA2011-v3-Optimization-Motherboard-X99-DELUXE-II/dp/B01F8558Z8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F8558Z8"
"ASUS X99-E",0,"ASUS","90MB0QL0-M0EAY0","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"Asus X99-E",255.56,"Asus","X99-E","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,8,"","","","","FALSE","FALSE","https://www.amazon.ca/LGA2011-v3-5-Way-Optimization-SafeSlot-Motherboard/dp/B01FM8HRXM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01FM8HRXM"
"ASUS X99-E WS 2xGL/SATA600/eSATA/SATAe/M.2 SSI Workstation",474.8,"Asus","90SB04Q0-M0EAY0","LGA 2011-3","X99 Express","FALSE","SSI","DDR4","GB",8,"","","","","","FALSE","FALSE","https://www.amazon.ca/dp/B00MSOMIL0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS X99-E WS USB 3.1",518.63,"ASUS","90SB05D0-M0EAY0","LGA 2011-v3","X99","FALSE","XL-ATX, CEB","DDR4","128 GB",8,12,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/2011-3-Motherboards-WS-USB-3-1/dp/B00XUDLXJG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00XUDLXJG"
"ASUS X99-E-10G WS",0,"ASUS","90SW05Z0-M0EAY0","LGA 2011-v3","X99","FALSE","E-ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"Asus X99-E-10G WS",728.69,"Asus","X99-E-10G WS","LGA 2011-v3","X99","FALSE","","DDR4","128 GB",8,0,"","","","","FALSE","FALSE","https://www.amazon.ca/ASUS-LGA2011-v3-4-Way-Motherboard-WS/dp/B01LEXRW48?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LEXRW48"
"ASUS X99-M WS",0,"ASUS","90SB05H0-M0EAY0","LGA 2011-v3","X99","FALSE","Micro-ATX","DDR4","64 GB",4,8,0,0,0,0,"TRUE","FALSE",""
"ASUS Z10PA-D8",0,"ASUS","90SB03X1-M0UAY0","LGA 2011-v3","C612","FALSE","ATX","DDR4","GB",8,10,"","","","","FALSE","FALSE",""
"ASUS Z10PE-D16 WS",0,"ASUS","90SB04L0-M0EAY0","LGA 2011-v3","C612","FALSE","EEB","DDR4","1024 GB",16,10,0,0,0,0,"FALSE","FALSE",""
"Asus Z10PE-D16 WS",460.32,"Asus","Z10PE-D16 WS","LGA 2011-3","C612 PCH","FALSE","","DDR4","1024 GB",6,0,"","","","","FALSE","FALSE","https://www.amazon.ca/Z10PE-D16-WS-LGA2011-v3-CrossFireX-Motherboard/dp/B00QC5DZEU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QC5DZEU"
"ASUS Z10PE-D8 WS",0,"ASUS","90SB0460-M0EAY0","LGA 2011-v3","C612","FALSE","EEB","DDR4","64 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"Asus Z10PE-D8 WS",564.85,"Asus","Z10PE-D8 WS","LGA 2011-v3","C612 PCH","FALSE","","DDR4","512 GB",8,8,"","","","","FALSE","FALSE","https://www.amazon.ca/Z10PE-D8-WS-Memoria-Socket-Z10PE-D8-WS/dp/B00O1AXIHM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00O1AXIHM"
"ASUS Z170 Pro Gaming",0,"ASUS","90MB0MD0-M0EAY0","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS Z170 Pro Gaming Aura",0,"ASUS","90MB0S00-M0EAY0","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,1,1,1,1,"FALSE","FALSE",""
"Asus Z170-A",0,"Asus","Z170-A","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,1,1,1,1,"FALSE","FALSE",""
"ASUS Z170-A",152.56,"ASUS","90MB0LS0-M0EAY0","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASUS-Z170-A-ATX-DDR4-Motherboards/dp/B012NH05UW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B012NH05UW"
